out_sensorName,timeStep,in_sensorName
103318117,1,126951211
1064041,2,1307588
1035508,2,1307588
1282094,1,1031441
1032128,1,1032456
1302364,2,1297081
1282094,0,1031442
1302954,1,1033248
1307588,1,1002688
1059502,1,1004639
1061624,0,1237824
1297267,0,1297122
1302954,2,1303797
1032456,0,1035514
1309771,0,1301940
1256899,1,1303963
1271410,0,1031440
1249511,0,1012192
1291674,0,1223683
1240117,2,1253632
1061624,2,1064041
12297418,1,121001920
1031437,3,1031440
1242723,1,1233363
1242723,0,1021860
1306673,0,1270795
1031437,1,1046206
1237824,0,1031129
1033407,0,1239192
1031437,0,1031441
1255849,0,1046600
1054726,0,1223234
1302829,4,1306548
1234910,0,1302825
1033248,2,1239711
1230452,0,1308366
1297202,0,1297333
1297202,1,1297333
1041498,0,1302832
1031127,0,1236019
1306994,4,1027844
1230839,1,1226706
1302628,0,1294101
1265534,4,1303963
1031440,3,1271410
1224666,2,1059502
104302115,1,12059326
1035503,2,1240117
1307588,4,1035508
1302627,2,1027838
1059502,0,1061733
1300877,1,1246797
1059508,1,1302111
1236019,2,1275449
1271410,3,1046206
1248249,0,1280634
104302115,2,122974132
1239192,4,1239093
1236540,0,1060109
1223683,1,1046600
1226015,4,1239711
1302627,3,1027841
1297264,1,1269409
1239711,0,1259380
1023592,3,1302829
1306897,1,1301175
1303087,0,1302111
1010054,0,1300838
1226708,0,1033100
1266765,1,1272677
1257118,3,1235466
1303584,1,1309766
1255230,1,1059089
1300838,0,1012192
1307187,0,1302954
10330844,1,126951211
1301175,0,1270717
1230839,3,1271410
1236019,0,1223234
1263493,0,1302598
1302928,0,1251228
1297267,1,1302595
1308488,1,1275448
1301383,2,1059508
1059089,1,1235466
1035503,1,1240117
1023820,2,1010054
1032128,0,1248589
1287413,0,1247267
1239192,1,1265886
1241064,0,1226015
1233363,1,1307449
127620712,0,103318129
1023820,4,1004773
122974132,2,122974121
1297264,0,1300877
1306673,3,1265886
1302598,1,1211726
1031127,4,1223234
1027837,1,1031440
1269405,0,1270795
1257118,0,1282094
1206468,2,1041498
1307187,1,1302954
1021860,3,1306994
1031440,0,1031441
104115939,0,10330844
1275449,0,1236019
1302825,0,1237528
1302825,1,1234910
1300838,1,1060109
1301174,1,1302827
1308319,2,1306828
103318129,0,103318117
1308319,3,1306828
1031560,1,1236019
10314533,0,126947610
1251228,0,1290383
1307450,1,1226015
1297122,0,1306673
1302827,0,1301174
1280679,4,1301174
1246872,0,1272676
1027841,3,1247290
1249004,0,1239192
122974132,0,104302115
1243859,0,1011408
1004773,0,1262050
1290383,1,1280377
1297333,2,1297202
1004773,2,1262050
1059508,3,1302111
1056955,2,1031440
1269463,0,1306690
1308366,1,1227711
1308488,0,1275448
1247267,0,1308463
1060109,4,1010054
1302111,0,1301383
1023820,1,1049589
1297580,0,1265534
1002688,0,1035508
1239711,1,1297265
1247962,0,1023820
1288092,0,1059188
1035514,1,1248589
1023596,0,1010055
1060109,1,1300838
10331815,3,122974121
1280298,0,1235462
128216313,0,12100197
1307449,0,1242723
1237528,2,1257546
1301175,1,1306673
1280634,0,1255230
1297272,1,1302833
104115918,0,104115939
1301293,2,1246872
1239711,3,1208725
1011408,0,1309765
1030718,0,1049757
1280303,1,1236912
1300879,0,1288092
1046206,0,1230839
1303687,0,1248589
1306828,4,1307757
1046356,1,1301293
1298005,4,1269463
1310176,0,1270795
1235462,1,1307449
12297418,2,130336714
104115918,2,103318117
1038131,1,1307450
1298005,0,1269463
1270717,0,1270795
1021860,1,1233363
1235462,0,1021860
1297262,1,1302364
1049757,3,1301174
1032372,3,1306434
1010055,0,1302832
1262050,0,1300838
1306930,1,1241064
1297295,2,1297202
1275449,1,1237528
1032372,0,1306434
1287572,0,1270795
1033100,1,1309765
1030618,2,1302954
1300838,2,1049589
1294101,1,1296535
1046600,0,1223683
1243855,0,1270795
130336727,0,1306897
103318129,1,104115918
1302837,0,1297264
1302836,3,1298005
1297265,4,1302595
1302832,0,1306931
1031558,0,1297272
1307450,2,1226015
1241258,0,1303963
1301174,0,1049757
1034753,0,1034751
1031440,4,1031442
1308319,0,1297267
1236912,2,1302627
1275449,3,1031127
1224666,0,1035508
1272676,4,1247290
10314512,0,10430211
12100197,0,130336714
1280723,0,1300877
1306994,0,1021860
103318129,4,103318117
1227711,2,1023592
1054326,0,1270717
1031584,0,1223234
104302115,0,122974132
1038131,0,1226015
1297264,2,1302836
1208725,3,1239711
1309766,0,1300879
1027841,1,1270653
1027842,0,1253132
1208725,1,1308319
1297295,0,1297202
1236019,1,1237528
1049589,0,1033187
1307757,4,1303087
1030618,1,1302954
1280377,1,1270653
1059188,0,1300879
1208725,0,1259380
10331815,0,104302115
1297081,0,1297580
1265886,1,1306673
12059326,0,122974121
122974121,1,10331815
1226015,3,1297265
1031129,0,1237824
1296535,0,1237377
1247962,3,1023820
1307449,4,1233363
1023596,4,1031129
1262050,3,1049589
1247559,0,1306673
1247290,0,1270653
1012192,1,1060109
1307673,0,1306897
1272676,3,1236912
1307449,2,1021860
1247962,1,1004773
1201412,1,1235466
1023596,1,1010055
1046206,4,1230839
1306434,4,1307187
1275448,0,1223683
1306691,0,1269463
1297579,0,1302826
1061733,0,1059502
1302826,0,1303087
1306434,0,1307187
1237377,0,1306690
130336714,1,128216313
1302687,0,1237377
1303586,0,1301175
1297262,2,1230452
1294101,0,1306690
1030618,4,1303797
130336727,4,1301175
