out_publicKey,in_publicKey,datetime,norm_trust,trust
1615,1,2014-03-10T23:35:36.387540,0.0248,9
1683,1566,2011-12-29T16:22:49.324110,0.30103,1
1615,1487,2012-05-22T12:40:20.150270,0.30103,1
1615,1562,2012-01-17T04:22:24.445690,0.2139,3
1615,149,2012-11-28T09:37:57.366810,0.1413,5
1615,1705,2012-01-12T11:22:44.458390,100.0,-10
1615,1760,2012-02-01T11:56:45.648980,0.30103,1
1615,1711,2012-01-25T21:11:06.157710,0.2556,2
1615,2027,2012-05-02T14:00:41.873900,0.30103,1
1615,2118,2012-06-22T16:11:17.085300,0.1413,5
1615,2070,2012-09-19T08:46:39.224100,0.17609,4
1615,2366,2012-07-29T11:09:29.281110,0.30103,1
1615,3060,2012-11-26T14:35:30.122140,0.30103,1
1615,5063,2013-11-27T07:27:36.267870,0.2556,2
4243,1098,2013-05-09T03:12:21.910970,0.30103,1
4525,4650,2013-12-29T10:45:18.574240,0.30103,1
2325,2328,2012-09-18T15:13:16.700400,0.30103,1
403,80,2011-05-01T21:09:27.103170,0.30103,1
1615,2192,2012-09-20T11:19:19.459420,0.2139,3
492,1094,2011-06-11T14:19:35.449370,0.30103,1
1615,2388,2012-11-12T04:08:13.579880,0.30103,1
1615,1630,2012-01-13T04:47:23.885630,0.30103,1
1615,309,2012-05-22T12:41:55.847860,0.2556,2
1615,1692,2012-01-04T20:10:04.370490,0.30103,1
1615,4331,2013-06-20T04:26:47.435320,0.2556,2
1615,1798,2012-02-14T06:59:34.182460,0.30103,1
3912,3911,2013-04-08T15:17:16.094060,0.2139,3
492,733,2011-06-08T21:10:29.687720,0.30103,1
4525,4504,2013-07-06T17:57:31.627370,0.30103,1
1843,1712,2012-03-04T15:18:15.886950,0.1413,5
1615,2174,2013-03-14T09:55:00.232590,0.2556,2
1843,2403,2012-08-14T13:04:41.740440,0.2556,2
1615,2322,2013-11-27T07:28:08.080530,0.2556,2
4993,4541,2013-12-19T08:00:48.199160,0.30103,1
1615,1217,2012-11-29T06:12:36.053890,0.2556,2
947,801,2011-06-07T00:07:24.687700,0.2556,2
3522,3512,2013-02-24T17:46:32.094440,0.30103,1
1615,4,2012-05-22T12:34:22.343290,0.30103,1
1615,1595,2012-01-13T06:28:16.992410,0.30103,1
492,2045,2012-11-07T15:36:30.791700,0.2556,2
374,545,2011-06-04T16:36:09.142320,0.2556,2
492,2775,2012-12-09T14:51:35.100570,0.0792,7
4641,3916,2013-07-31T20:35:17.522250,0.30103,1
2325,2028,2012-07-19T00:42:46.069980,0.30103,1
2030,1714,2012-05-27T20:06:09.946050,0.30103,1
1615,1993,2012-04-26T05:41:10.944280,0.30103,1
1843,1281,2012-06-04T06:38:12.451140,0.30103,1
1955,1771,2012-04-30T22:43:31.352380,0.2556,2
5654,159,2014-07-06T17:52:07.039370,0.17609,4
1615,1201,2012-01-19T12:11:56.375570,0.17609,4
1615,1573,2012-08-02T05:01:40.215930,0.30103,1
1615,1677,2012-05-07T10:57:23.600910,0.30103,1
1615,1366,2012-05-22T12:30:54.621500,0.30103,1
4993,4172,2013-11-21T07:01:13.372360,0.2556,2
1615,1566,2012-05-22T12:05:46.560130,0.1413,5
1615,2141,2012-06-15T18:37:02.044940,0.2139,3
1615,1768,2012-02-04T05:50:22.137930,0.30103,1
1615,1948,2012-08-14T05:05:35.870620,0.0512,8
1615,2122,2012-05-31T20:46:57.051130,0.17609,4
1424,937,2011-08-15T00:02:32.647590,0.30103,1
1615,2281,2012-11-27T11:40:06.010120,0.2556,2
1615,537,2012-05-22T12:38:43.408330,0.30103,1
492,13,2012-09-13T14:15:48.507620,0.30103,1
1615,2665,2012-09-24T22:22:27.395160,0.2556,2
5034,4122,2013-11-22T09:02:43.695520,100.0,-10
1615,2859,2012-10-24T08:36:22.993510,0.30103,1
2325,1585,2012-07-25T21:08:57.786750,0.30103,1
1615,3398,2013-01-28T06:20:38.948570,0.2556,2
2325,2725,2013-01-14T00:12:55.019240,0.30103,1
1615,1654,2011-12-22T02:21:09.389590,0.30103,1
1615,5093,2013-11-29T11:30:54.452960,0.30103,1
492,468,2011-06-11T16:32:51.798220,0.30103,1
1615,1735,2012-01-31T17:31:38.130100,0.30103,1
4525,204,2013-12-14T12:45:16.621000,0.3979,-2
1615,1907,2012-04-22T18:40:07.206760,0.30103,1
492,1101,2011-06-11T20:37:37.288700,0.30103,1
4525,3260,2013-07-06T17:48:49.927020,0.1413,5
2030,304,2012-08-29T20:25:32.382550,0.2556,2
2325,2405,2012-09-01T23:33:44.222060,0.30103,1
2325,1810,2012-09-02T04:30:24.549740,0.30103,1
1615,2233,2012-11-28T06:21:14.769110,0.30103,1
492,1611,2012-08-20T12:22:26.521860,0.30103,1
4993,3880,2013-11-09T17:28:15.387400,0.2556,2
1615,2475,2012-09-08T07:58:41.956260,0.30103,1
492,1098,2011-06-11T19:40:57.517250,0.30103,1
1615,3155,2013-03-14T09:58:46.401230,0.30103,1
1019,1055,2011-06-14T02:02:50.226930,0.30103,1
492,350,2011-05-08T14:49:23.062140,0.2556,2
255,2067,2012-06-16T15:28:06.903350,0.30103,1
1529,1386,2012-08-09T02:00:23.496240,0.17609,4
492,1557,2012-08-18T15:21:19.816290,0.30103,1
4422,3916,2013-06-14T20:51:07.933320,0.30103,1
4993,4474,2013-11-09T11:26:59.434700,0.30103,1
492,2484,2012-10-08T19:55:26.547060,0.30103,1
492,1754,2012-08-18T08:34:06.620110,0.30103,1
4525,4526,2013-07-06T17:50:29.652630,0.30103,1
789,484,2011-06-01T22:32:52.237180,0.30103,1
492,2710,2012-12-05T12:59:27.671120,0.1413,5
492,832,2011-06-11T12:37:55.894470,100.0,-10
374,1090,2011-06-11T07:53:47.252420,0.30103,1
5318,5688,2016-01-07T10:54:56.424940,0.30103,1
3148,3099,2013-01-01T16:55:18.762270,0.30103,1
1843,1774,2012-07-17T11:52:02.772270,0.1413,5
517,383,2011-05-12T01:08:56.387510,0.30103,1
1843,760,2012-08-07T05:59:27.904440,0.6021,-5
1964,1555,2012-04-24T09:56:05.422940,0.30103,1
1843,1893,2012-06-11T14:39:34.228700,0.2556,2
2166,2067,2012-06-09T19:43:25.739400,0.30103,1
492,1117,2011-06-12T17:03:48.843000,0.30103,1
1964,1972,2012-04-16T18:29:17.914890,0.30103,1
374,838,2011-06-04T08:54:18.974090,0.30103,1
3148,2725,2012-12-09T16:22:57.812990,0.30103,1
2579,35,2012-09-11T19:54:09.988920,0.30103,1
1272,2647,2012-10-03T17:26:39.717540,0.30103,1
4587,4197,2013-07-22T20:31:55.914640,0.30103,1
492,2198,2012-08-27T22:28:43.136330,0.30103,1
2030,1810,2012-05-26T01:05:46.527180,0.30103,1
3148,3151,2012-12-09T21:47:15.005950,0.30103,1
2030,57,2012-05-29T00:32:28.511660,0.30103,1
1272,4266,2013-05-30T00:58:26.415570,0.30103,1
2030,2485,2012-09-03T07:35:09.299610,0.2556,2
374,775,2011-06-06T15:20:18.438190,0.30103,1
1955,2034,2012-05-03T20:38:10.677920,0.2556,2
1955,2002,2012-04-27T18:38:44.520050,0.3979,-2
2166,2148,2012-06-11T22:27:15.430170,100.0,-10
925,1028,2011-06-09T06:59:27.487340,0.30103,1
2030,1803,2012-06-06T09:24:19.478970,0.2139,3
1019,632,2011-06-09T02:48:47.717610,0.30103,1
2030,2296,2012-09-28T05:54:33.691660,0.1413,5
4778,4694,2013-08-22T21:53:59.501950,0.30103,1
1843,1673,2012-06-02T08:30:33.549560,0.30103,1
1019,908,2011-06-11T02:14:00.118870,0.2556,2
4587,4172,2013-07-22T17:31:46.052680,0.30103,1
837,776,2011-06-03T12:42:27.702310,0.30103,1
2030,1832,2012-08-28T14:23:15.642730,0.2556,2
1529,1281,2012-05-17T20:59:40.419800,0.30103,1
837,689,2011-06-03T17:40:03.095040,0.30103,1
2030,2725,2012-12-08T17:20:16.940610,0.2556,2
1529,1532,2011-10-25T09:11:57.362550,0.30103,1
1529,2260,2012-07-02T22:28:51.845540,0.30103,1
1529,905,2012-07-02T22:50:00.161090,0.0512,8
5654,3427,2014-07-01T18:02:40.430750,0.30103,1
925,920,2011-06-09T20:43:58.460020,0.2556,2
1529,1528,2012-07-21T05:21:22.154680,0.30103,1
1019,1018,2011-06-09T02:06:31.263610,0.30103,1
3153,3956,2014-10-05T17:40:32.720910,0.2556,2
1529,1859,2012-10-07T19:56:53.833900,0.30103,1
1529,1317,2011-10-24T19:21:42.335690,0.30103,1
4004,4037,2013-04-12T22:57:13.002190,0.30103,1
1529,2475,2012-09-08T22:43:04.428900,0.30103,1
1529,1543,2012-11-06T15:37:34.573680,0.3468,-1
4004,5013,2013-11-29T00:22:51.048040,0.30103,1
1529,425,2012-08-20T14:25:49.996270,0.30103,1
1529,1899,2012-08-01T23:35:40.033140,0.30103,1
1272,3735,2013-04-26T21:23:58.543880,0.1413,5
1529,2723,2012-10-01T17:03:01.665410,0.30103,1
554,585,2011-06-08T15:07:10.268740,0.2556,2
1964,1917,2012-04-14T14:32:07.397220,100.0,-10
2993,2981,2012-11-13T20:44:36.817210,0.2556,2
2562,204,2012-09-10T00:15:41.525580,0.30103,1
925,1252,2011-07-01T13:53:16.796870,0.30103,1
1529,492,2012-08-20T09:12:22.848170,0.30103,1
1548,1386,2011-12-14T17:15:15.872750,0.2556,2
925,632,2011-06-09T00:42:59.944620,0.30103,1
2562,546,2012-09-09T23:00:07.601450,0.2556,2
1194,1005,2011-06-20T01:07:18.764340,0.30103,1
1548,35,2011-11-01T14:41:35.042770,0.30103,1
560,394,2011-05-14T18:17:45.914260,0.30103,1
1272,2919,2012-11-02T18:54:47.003570,100.0,-10
925,222,2011-06-08T06:42:15.232440,0.30103,1
1272,2296,2012-10-13T23:21:19.068410,0.30103,1
4004,452,2013-04-12T23:38:16.711100,0.3468,-1
6,1383,2012-09-03T22:24:16.378100,100.0,-10
925,1013,2011-06-09T20:50:39.933880,0.30103,1
2993,2028,2012-11-23T20:28:57.868480,0.2556,2
6,198,2011-05-07T23:43:35.399520,0.2556,2
925,1053,2011-07-01T22:19:45.174730,0.30103,1
2149,2028,2012-06-05T22:40:06.711800,0.30103,1
1843,2222,2012-06-23T11:15:04.199460,0.2556,2
4004,3219,2013-04-16T17:23:26.520800,0.2139,3
2309,1576,2012-07-17T11:52:11.310720,0.30103,1
925,1018,2011-06-09T02:05:20.288180,0.30103,1
925,923,2011-06-07T23:12:50.726980,0.30103,1
3153,2378,2012-12-10T08:40:50.271190,0.30103,1
4993,5084,2013-11-28T09:41:49.071620,0.30103,1
1548,1544,2011-11-03T09:11:31.665720,0.30103,1
6,5,2010-11-08T13:45:41.533780,0.2556,2
4004,4875,2013-10-25T18:19:28.423890,0.2139,3
1548,4430,2013-06-20T14:11:57.946890,0.2556,2
4574,4579,2013-07-19T05:18:19.720090,0.2556,2
6,1018,2012-12-08T18:45:14.551530,0.30103,1
925,468,2011-06-06T08:18:47.130640,0.17609,4
1964,905,2012-04-20T12:36:37.066610,0.30103,1
554,502,2011-05-14T12:22:54.418840,0.2556,2
2309,2054,2012-07-17T19:03:01.761410,0.2139,3
1272,3820,2013-05-28T12:35:27.561020,0.30103,1
2880,3926,2013-07-15T11:32:18.600880,0.17609,4
3762,3763,2013-03-26T14:32:04.829180,0.30103,1
554,632,2011-06-08T17:03:48.475840,0.2556,2
3153,3260,2014-10-06T06:11:42.372300,0.2139,3
1548,1334,2011-11-06T18:24:43.550410,0.30103,1
1834,1744,2012-04-13T07:34:11.930250,0.2556,2
1548,1557,2011-11-10T09:13:02.668120,0.30103,1
4641,35,2013-08-02T11:10:43.292210,0.30103,1
1548,4562,2013-09-07T23:05:58.575680,0.30103,1
1548,1764,2013-05-04T18:00:26.335160,0.2139,3
2030,13,2012-05-03T17:49:55.565070,0.2139,3
6,114,2011-01-29T03:57:37.018700,0.2556,2
1548,546,2011-11-11T14:52:47.840580,0.30103,1
2030,2102,2012-05-26T21:56:47.213330,0.30103,1
4004,3982,2013-04-11T10:53:49.684190,0.30103,1
2149,2153,2012-06-06T18:10:30.302910,0.30103,1
2880,2388,2013-06-28T16:46:49.330110,0.30103,1
6,1810,2012-10-31T21:29:12.785010,0.2139,3
6,1386,2011-11-23T17:50:14.465890,0.2139,3
4004,3735,2013-04-14T11:07:55.548000,0.30103,1
1375,209,2011-08-25T15:40:15.595430,0.2556,2
2097,1731,2012-05-31T16:17:42.874700,0.2556,2
6,2,2010-11-08T13:45:11.728360,0.17609,4
6,384,2011-07-29T00:57:39.751770,0.1091,6
3545,13,2013-06-05T02:53:48.476110,0.17609,4
4004,4635,2013-11-28T13:28:21.977370,0.30103,1
6,7,2010-11-26T21:52:47.172110,0.1413,5
3545,25,2013-08-04T01:45:51.427260,0.30103,1
6,521,2011-08-03T13:23:43.014990,0.30103,1
2880,1899,2012-10-30T03:07:25.647450,0.30103,1
3545,3719,2013-07-21T22:02:45.066790,0.30103,1
2880,1018,2013-02-04T14:58:27.944470,0.17609,4
3545,4253,2013-05-09T21:38:32.343490,0.30103,1
3545,4462,2013-06-26T09:46:58.545930,0.30103,1
4421,3531,2013-08-13T18:48:19.290980,100.0,-10
2767,35,2013-03-20T06:56:25.299610,0.0792,7
554,547,2011-05-14T12:27:57.050070,0.2556,2
